data_collector|person_id|height|head.height|head.circumference|arm.span|floor.navel|units|writing|eye|eye.color|swinging|age|gender|quality|minutes|ethnicity|notes|hand.length|hand.width|hand.elbow|elbow.armpit|arm.reach|foot.length|floor.kneepit|floor.hip|floor.armpit|my.units|my.ethnicity|my.gender|new.units|my.eye|my.writing|my.swinging|my.eye.color
9c2633aaa2d945bb10608ad13c3a11a9|1cef05bce7879e0ffee01b0cb8d78c32|152.1|23|NA|148.2|NA|cm|right|both|blue|right|21|F|10|15|white|NA|17|18.2|34.8|22.7|188.2|21.4|37.5|88|122.5|cm|w|f|cm|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|7ccb01feee114272ab008022a14ededb|174|22.1|NA|167|NA|cm|right|both|brown|right|22|M|7|22|Hispanic|NA|19|20|45|26|223|23|49.5|103|140.1|cm|h|m|cm|b|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|045e02304948042a658b4faa4bd8e54e|168|18|NA|157|NA|cm|left|both|brown|left|23|M|9|15|black|NA|15|14|52|33|183|20|41|102|139|cm|b|m|cm|b|l|l|br
9c2633aaa2d945bb10608ad13c3a11a9|51e383ff163861b0e2fc71e939a5b118|164|23|NA|155|NA|cm|right|both|blue|right|23|F|8|15|white|NA|17|19|39|29|202|23|39|88|127|cm|w|f|cm|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|6d672001f80f375570c44439c540bebf|181|26|NA|183|NA|cm|left|left|blue|left|23|F|9|11|white|NA|20|24|43|28|231|25|42|99|144|cm|w|f|cm|l|l|l|bl
9c2633aaa2d945bb10608ad13c3a11a9|98569fbc2cb9141f60d0ae5cfa7501cb|156.2|22.5|NA|167.5|NA|cm|right|both|hazel|right|63|M|9|17|white|NA|18.2|20.2|37.1|32|206|25.4|42|95|131|cm|w|m|cm|b|r|r|ha
9c2633aaa2d945bb10608ad13c3a11a9|8d98590f4401d70a1d0a04293499b87c|154.3|22.5|NA|150.1|NA|cm|right|both|blue|right|59|F|10|13|white|NA|17.2|18.6|36.9|25|150.1|22.2|38.5|89.5|122|cm|w|f|cm|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|a9b12538812f18facbfcbd5f2c12663b|154.3|23|NA|151|NA|cm|right|both|brown|right|23|M|8|19|white|NA|17|18.5|36|24.5|192|22|38.5|88|123|cm|w|m|cm|b|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|7a87fa2f3e4e4ca864a254fef98ecdc0|172.7|20|NA|154|NA|cm|right|right|brown|right|20|F|9|14|white|NA|18|14|38.5|20|38|26|45|96|135|cm|w|f|cm|r|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|8e231231fb1ab2d42c266670295eee16|164|23|NA|154.3|NA|cm|right|both|blue|right|26|F|7|15|white|NA|17|19|38.7|27.7|201.1|23.3|38.5|88|127|cm|w|f|cm|b|r|r|bl
