data_collector|person_id|height|head.height|head.circumference|arm.span|floor.navel|units|writing|eye|eye.color|swinging|age|gender|quality|minutes|ethnicity|notes|hand.length|hand.width|hand.elbow|elbow.armpit|arm.reach|foot.length|floor.kneepit|floor.hip|floor.armpit|my.units|my.ethnicity|my.gender|new.units|my.eye|my.writing|my.swinging|my.eye.color
9c2633aaa2d945bb10608ad13c3a11a9|1cef05bce7879e0ffee01b0cb8d78c32|59.8818897637795|9.05511811023622|NA|58.3464566929134|NA|cm|right|both|blue|right|21|F|10|15|white|NA|6.69291338582677|7.16535433070866|13.7007874015748|8.93700787401575|74.0944881889764|8.4251968503937|14.7637795275591|34.6456692913386|48.2283464566929|cm|w|f|in|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|7ccb01feee114272ab008022a14ededb|68.503937007874|8.7007874015748|NA|65.748031496063|NA|cm|right|both|brown|right|22|M|7|22|Hispanic|NA|7.48031496062992|7.8740157480315|17.7165354330709|10.2362204724409|87.7952755905512|9.05511811023622|19.488188976378|40.5511811023622|55.1574803149606|cm|h|m|in|b|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|045e02304948042a658b4faa4bd8e54e|66.1417322834646|7.08661417322835|NA|61.8110236220472|NA|cm|left|both|brown|left|23|M|9|15|black|NA|5.90551181102362|5.51181102362205|20.4724409448819|12.992125984252|72.0472440944882|7.8740157480315|16.1417322834646|40.1574803149606|54.7244094488189|cm|b|m|in|b|l|l|br
9c2633aaa2d945bb10608ad13c3a11a9|51e383ff163861b0e2fc71e939a5b118|64.5669291338583|9.05511811023622|NA|61.0236220472441|NA|cm|right|both|blue|right|23|F|8|15|white|NA|6.69291338582677|7.48031496062992|15.3543307086614|11.4173228346457|79.5275590551181|9.05511811023622|15.3543307086614|34.6456692913386|50|cm|w|f|in|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|6d672001f80f375570c44439c540bebf|71.259842519685|10.2362204724409|NA|72.0472440944882|NA|cm|left|left|blue|left|23|F|9|11|white|NA|7.8740157480315|9.44881889763779|16.9291338582677|11.0236220472441|90.9448818897638|9.84251968503937|16.5354330708661|38.9763779527559|56.6929133858268|cm|w|f|in|l|l|l|bl
9c2633aaa2d945bb10608ad13c3a11a9|98569fbc2cb9141f60d0ae5cfa7501cb|61.496062992126|8.85826771653543|NA|65.9448818897638|NA|cm|right|both|hazel|right|63|M|9|17|white|NA|7.16535433070866|7.95275590551181|14.6062992125984|12.5984251968504|81.1023622047244|10|16.5354330708661|37.4015748031496|51.5748031496063|cm|w|m|in|b|r|r|ha
9c2633aaa2d945bb10608ad13c3a11a9|8d98590f4401d70a1d0a04293499b87c|60.748031496063|8.85826771653543|NA|59.0944881889764|NA|cm|right|both|blue|right|59|F|10|13|white|NA|6.77165354330709|7.32283464566929|14.5275590551181|9.84251968503937|59.0944881889764|8.74015748031496|15.1574803149606|35.2362204724409|48.0314960629921|cm|w|f|in|b|r|r|bl
9c2633aaa2d945bb10608ad13c3a11a9|a9b12538812f18facbfcbd5f2c12663b|60.748031496063|9.05511811023622|NA|59.4488188976378|NA|cm|right|both|brown|right|23|M|8|19|white|NA|6.69291338582677|7.28346456692913|14.1732283464567|9.64566929133858|75.5905511811024|8.66141732283465|15.1574803149606|34.6456692913386|48.4251968503937|cm|w|m|in|b|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|7a87fa2f3e4e4ca864a254fef98ecdc0|67.992125984252|7.8740157480315|NA|60.6299212598425|NA|cm|right|right|brown|right|20|F|9|14|white|NA|7.08661417322835|5.51181102362205|15.1574803149606|7.8740157480315|14.9606299212598|10.2362204724409|17.7165354330709|37.7952755905512|53.1496062992126|cm|w|f|in|r|r|r|br
9c2633aaa2d945bb10608ad13c3a11a9|8e231231fb1ab2d42c266670295eee16|64.5669291338583|9.05511811023622|NA|60.748031496063|NA|cm|right|both|blue|right|26|F|7|15|white|NA|6.69291338582677|7.48031496062992|15.2362204724409|10.9055118110236|79.1732283464567|9.17322834645669|15.1574803149606|34.6456692913386|50|cm|w|f|in|b|r|r|bl
